/00 - Health | GET {{base_url}}/health | Health check
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | GET {{base_url}}/clientes/perfil | [negativo] Reutilizar el JWT despues de logout
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/cliente | [negativo] Registro Cliente con email duplicado
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/cliente | [negativo] Registro Cliente con DNI duplicado
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio | [negativo] Registro Comercio con CUIT duplicado
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio | [negativo] Registro Comercio con DNI de representante duplicado cross-role (mismo DNI que un Cliente)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio | [negativo] Registro Comercio sin horarios (lista vacia)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio | [negativo] Registro Comercio con horaCierre anterior a horaApertura
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio/foto-firma | Pedir firma foto de registro de comercio (1/5, dentro del limite)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio/foto-firma | Pedir firma foto de registro de comercio (2/5, dentro del limite)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio/foto-firma | Pedir firma foto de registro de comercio (3/5, dentro del limite)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio/foto-firma | Pedir firma foto de registro de comercio (4/5, dentro del limite)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio/foto-firma | Pedir firma foto de registro de comercio (5/5, dentro del limite)
/09 - Auth avanzado (codigo, recuperacion, reactivacion, cambiar-password, logout) | POST {{base_url}}/auth/registro/comercio/foto-firma | [negativo] Pedir firma foto de registro de comercio (6/5, rate limit)
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | POST {{base_url}}/auth/registro/comercio | Registro Comercio D (para probar rechazo por Admin)
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | GET {{base_url}}/test/token-verificacion?email={{comercioD_email}} | Bypass test - token verificacion Comercio D
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | GET {{base_url}}/auth/verificar/{{token_verif_comercioD}} | Verificar cuenta Comercio D
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | POST {{base_url}}/auth/login | Login Comercio D
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | GET {{base_url}}/comercios/perfil | [gap conocido] Comercio D opera con perfil COMERCIO aunque Comercio.estado siga PENDIENTE (SecurityConfig no bloquea por estado)
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | POST {{base_url}}/productos | Crear producto para Comercio D (antes de resolverlo)
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | GET {{base_url}}/administrador/comercios | GET administrador/comercios (aprobados) - A y B aparecen, D no
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | GET {{base_url}}/administrador/clientes | GET administrador/clientes
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | GET {{base_url}}/administrador/perfil | GET administrador/perfil
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | GET {{base_url}}/administrador/metricas | GET administrador/metricas
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | PUT {{base_url}}/administrador/comercios/{{comercio_a_id}}/resolver | [negativo] Resolver un comercio ya resuelto (doble resolucion sobre Comercio A)
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | PUT {{base_url}}/administrador/comercios/999999/resolver | [negativo] Resolver un comercio inexistente
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | PUT {{base_url}}/administrador/comercios/{{comercio_d_id}}/resolver | [negativo] Rechazar comercio sin motivo
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | PUT {{base_url}}/administrador/comercios/{{comercio_d_id}}/resolver | Rechazar Comercio D con motivo
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | POST {{base_url}}/carrito/items | [negativo] Cliente confirma pedido a Comercio D ya rechazado (no acepta pedidos)
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | GET {{base_url}}/catalogo/comercios | GET catalogo/comercios confirma que Comercio D rechazado no aparece
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | POST {{base_url}}/categorias | [negativo] Cliente intenta crear categoria (rol insuficiente)
/10 - Administrador (endpoints nuevos y reglas de aprobacion) | GET {{base_url}}/administrador/comercios/pendientes | [negativo] Comercio intenta listar comercios pendientes (rol insuficiente)
/11 - Categorias y Tags (CRUD completo) | POST {{base_url}}/categorias | Crear categoria 2 (para probar colision de nombre al editar)
/11 - Categorias y Tags (CRUD completo) | POST {{base_url}}/categorias | [negativo] Crear categoria con nombre duplicado
/11 - Categorias y Tags (CRUD completo) | PUT {{base_url}}/categorias/{{categoria2_id}} | Editar categoria (cambia nombre)
/11 - Categorias y Tags (CRUD completo) | PUT {{base_url}}/categorias/{{categoria2_id}} | [negativo] Editar categoria a un nombre ya usado por otra
/11 - Categorias y Tags (CRUD completo) | GET {{base_url}}/categorias | GET categorias con token de Cliente (abierto a cualquier autenticado)
/11 - Categorias y Tags (CRUD completo) | DELETE {{base_url}}/categorias/{{categoria2_id}} | Dar de baja categoria 2
/11 - Categorias y Tags (CRUD completo) | GET {{base_url}}/categorias | GET categorias confirma que la dada de baja sigue apareciendo (activo=false)
/11 - Categorias y Tags (CRUD completo) | PUT {{base_url}}/categorias/{{categoria2_id}}/reactivar | Reactivar categoria 2
/11 - Categorias y Tags (CRUD completo) | POST {{base_url}}/tags | Crear tag 2 (para probar colision de nombre al editar)
/11 - Categorias y Tags (CRUD completo) | POST {{base_url}}/tags | [negativo] Crear tag con nombre duplicado
/11 - Categorias y Tags (CRUD completo) | PUT {{base_url}}/tags/{{tag2_id}} | Editar tag (cambia nombre)
/11 - Categorias y Tags (CRUD completo) | PUT {{base_url}}/tags/{{tag2_id}} | [negativo] Editar tag a un nombre ya usado por otro
/11 - Categorias y Tags (CRUD completo) | GET {{base_url}}/tags | GET tags con token de Comercio (abierto a cualquier autenticado)
/11 - Categorias y Tags (CRUD completo) | DELETE {{base_url}}/tags/{{tag2_id}} | [negativo] Comercio intenta dar de baja un tag (rol insuficiente)
/11 - Categorias y Tags (CRUD completo) | DELETE {{base_url}}/tags/{{tag2_id}} | Dar de baja tag 2
/11 - Categorias y Tags (CRUD completo) | PUT {{base_url}}/tags/{{tag2_id}}/reactivar | Reactivar tag 2
/12 - Cliente perfil | GET {{base_url}}/clientes/perfil | GET clientes/perfil
/12 - Cliente perfil | PUT {{base_url}}/clientes/perfil | PUT clientes/perfil (edita nombre/apellido/telefono)
/12 - Cliente perfil | PUT {{base_url}}/clientes/perfil | PUT clientes/perfil intentando cambiar email/dni (se ignoran)
/12 - Cliente perfil | PUT {{base_url}}/clientes/perfil | [negativo] PUT clientes/perfil con telefono invalido (letras)
/12 - Cliente perfil | GET {{base_url}}/clientes/perfil | [negativo] Comercio intenta ver clientes/perfil (rol insuficiente)
/13 - Comercio perfil y foto | GET {{base_url}}/comercios/perfil | GET comercios/perfil (Comercio A)
/13 - Comercio perfil y foto | PUT {{base_url}}/comercios/perfil | PUT comercios/perfil (edita nombre/telefono/emailContacto/modalidades)
/13 - Comercio perfil y foto | PUT {{base_url}}/comercios/perfil | PUT comercios/perfil intentando cambiar razonSocial/cuit (se ignoran)
/13 - Comercio perfil y foto | POST {{base_url}}/comercios/perfil/foto/firma | POST comercios/perfil/foto/firma
/13 - Comercio perfil y foto | PUT {{base_url}}/comercios/perfil/foto | PUT comercios/perfil/foto
/13 - Comercio perfil y foto | GET {{base_url}}/comercios/perfil | [negativo] Cliente intenta ver comercios/perfil (rol insuficiente)
/14 - Productos extras (editar, imagenes, estados) | PUT {{base_url}}/productos/{{producto_id}} | PUT productos/{id} (editar producto A)
/14 - Productos extras (editar, imagenes, estados) | GET {{base_url}}/productos | GET productos (listar propio del comercio A)
/14 - Productos extras (editar, imagenes, estados) | PATCH {{base_url}}/productos/{{producto_b_id}}/estado | [negativo] Cambiar estado del producto B al mismo estado actual (DISPONIBLE->DISPONIBLE)
/14 - Productos extras (editar, imagenes, estados) | PUT {{base_url}}/productos/{{producto_b_id}} | [negativo] Comercio A intenta editar producto de Comercio B (tenant isolation)
/14 - Productos extras (editar, imagenes, estados) | POST {{base_url}}/productos/{{producto_b_id}}/imagenes | Agregar imagen 1 al producto B (para tests de mutacion, sin tocar la galeria de 5 de A)
/14 - Productos extras (editar, imagenes, estados) | POST {{base_url}}/productos/{{producto_b_id}}/imagenes | Agregar imagen 2 al producto B
/14 - Productos extras (editar, imagenes, estados) | PATCH {{base_url}}/productos/{{producto_b_id}}/imagenes/{{imagen_b1_id}}/orden | PATCH empujar imagen 1 (hoy principal) a orden 5, sin tocar la 2 todavia
/14 - Productos extras (editar, imagenes, estados) | PATCH {{base_url}}/productos/{{producto_b_id}}/imagenes/{{imagen_b2_id}}/orden | PATCH reordenar imagen 2 del producto B a orden 0 (ahora es la de menor orden, recalcula principal)
/14 - Productos extras (editar, imagenes, estados) | PATCH {{base_url}}/productos/{{producto_b_id}}/imagenes/{{imagen_b1_id}}/url | PATCH actualizar URL de una imagen del producto B
/14 - Productos extras (editar, imagenes, estados) | POST {{base_url}}/productos/{{producto_b_id}}/imagenes/{{imagen_b1_id}}/recorte/firma | POST firma de recorte de una imagen del producto B
/14 - Productos extras (editar, imagenes, estados) | DELETE {{base_url}}/productos/{{producto_b_id}}/imagenes/{{imagen_b1_id}} | DELETE una imagen del producto B
/14 - Productos extras (editar, imagenes, estados) | DELETE {{base_url}}/productos/{{producto_b_id}}/imagenes/{{imagen_b1_id}} | [negativo] Eliminar una imagen ya eliminada
/14 - Productos extras (editar, imagenes, estados) | POST {{base_url}}/productos | Crear Producto Postman Estados (Comercio A, para ciclo de vida de EstadoProducto)
/14 - Productos extras (editar, imagenes, estados) | PATCH {{base_url}}/productos/{{producto_estados_id}}/estado | PATCH estado: DISPONIBLE -> AGOTADO
/14 - Productos extras (editar, imagenes, estados) | PATCH {{base_url}}/productos/{{producto_estados_id}}/estado | PATCH estado: AGOTADO -> DISPONIBLE (transicion valida de vuelta)
/14 - Productos extras (editar, imagenes, estados) | PATCH {{base_url}}/productos/{{producto_estados_id}}/estado | PATCH estado: DISPONIBLE -> DESCONTINUADO (estado terminal)
/14 - Productos extras (editar, imagenes, estados) | PATCH {{base_url}}/productos/{{producto_estados_id}}/estado | [negativo] Transicion invalida desde DESCONTINUADO (estado terminal)
/14 - Productos extras (editar, imagenes, estados) | PUT {{base_url}}/productos/{{producto_estados_id}} | [negativo] Editar un producto descontinuado
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | POST {{base_url}}/productos | Crear Producto Postman Purga (Comercio A, para probar purga de carrito)
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | POST {{base_url}}/productos | Crear Producto Postman Purga 2 (para probar DELETE de un item puntual)
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | POST {{base_url}}/carrito/items | Cliente agrega Producto Postman Purga al carrito
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | POST {{base_url}}/carrito/items | Cliente agrega Producto Postman Purga 2 al carrito (para el DELETE puntual)
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | DELETE {{base_url}}/carrito/items/{{item_carrito_delete_id}} | DELETE de un item puntual del carrito
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | PUT {{base_url}}/carrito/items/{{item_carrito_extra_id}} | PUT actualizar cantidad del item de carrito
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | PUT {{base_url}}/carrito/items/{{item_carrito_extra_id}} | [negativo] PUT actualizar cantidad por encima del maximo (21)
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | PUT {{base_url}}/carrito/items/999999 | [negativo] PUT actualizar cantidad de un item inexistente
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | PATCH {{base_url}}/productos/{{producto_purga_id}}/estado | Comercio A marca Producto Postman Purga como AGOTADO (dispara purga de carritos)
/15 - Carrito extras (cantidad, eliminar, purga por agotado) | GET {{base_url}}/carrito | GET carrito confirma que el producto agotado fue purgado y el carrito quedo vacio
/16 - Catalogo extras (busqueda global, filtros) | GET {{base_url}}/catalogo/productos | GET catalogo/productos (busqueda global, sin filtros)
/16 - Catalogo extras (busqueda global, filtros) | GET {{base_url}}/catalogo/productos?q=Empanada | GET catalogo/productos con busqueda por texto (q=empanada)
/16 - Catalogo extras (busqueda global, filtros) | GET {{base_url}}/catalogo/productos?pagina=999 | GET catalogo/productos con pagina fuera de rango (sin error)
/16 - Catalogo extras (busqueda global, filtros) | GET {{base_url}}/catalogo/filtros | GET catalogo/filtros
/16 - Catalogo extras (busqueda global, filtros) | GET {{base_url}}/catalogo/comercios/999999/productos | [negativo] GET productos de un comercio inexistente
/16 - Catalogo extras (busqueda global, filtros) | GET {{base_url}}/catalogo/comercios | Confirma que el catalogo publico NO expone datos del representante
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | GET {{base_url}}/pedidos/cliente | GET pedidos/cliente (listar pedidos propios)
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | GET {{base_url}}/pedidos/comercio/resumen-hoy | GET pedidos/comercio/resumen-hoy (Comercio A)
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | PUT {{base_url}}/pedidos/comercio/{{pedido_id}}/aceptar | [negativo] Comercio B intenta aceptar un pedido de Comercio A (tenant isolation)
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | PUT {{base_url}}/pedidos/comercio/{{pedido_id}}/aceptar | [negativo] Re-aceptar un pedido ya resuelto
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | DELETE {{base_url}}/carrito | Vaciar carrito antes de probar el negativo de carrito vacio
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | POST {{base_url}}/pedidos/cliente | [negativo] Confirmar pedido con el carrito vacio
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | POST {{base_url}}/carrito/items | Agregar producto A al carrito (para probar DOMICILIO sin direccion)
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | POST {{base_url}}/pedidos/cliente | [negativo] Confirmar pedido DOMICILIO sin direccionId
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | POST {{base_url}}/pedidos/cliente | [negativo] Confirmar pedido DOMICILIO con direccion de otro cliente/inexistente
/17 - Pedidos extras (tenant isolation, doble resolucion, carrito vacio) | DELETE {{base_url}}/carrito | Vaciar carrito (cleanup, no interfiere con nada mas)
/18 - Notificaciones extras (tenant isolation) | GET {{base_url}}/notificaciones | GET notificaciones del Comercio A (para tomar un id ajeno al cliente)
/18 - Notificaciones extras (tenant isolation) | PUT {{base_url}}/notificaciones/{{notif_comercio_id}}/leida | [negativo] Cliente intenta marcar como leida una notificacion del Comercio A (tenant isolation)
/18 - Notificaciones extras (tenant isolation) | PUT {{base_url}}/notificaciones/999999/leida | [negativo] Marcar como leida una notificacion inexistente
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | POST {{base_url}}/auth/registro/comercio | Registro Comercio C (para probar bloqueo por intentos fallidos)
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | GET {{base_url}}/test/token-verificacion?email={{comercioC_email}} | Bypass test - token verificacion Comercio C
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | GET {{base_url}}/auth/verificar/{{token_verif_comercioC}} | Verificar cuenta Comercio C
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | POST {{base_url}}/auth/login | Login Comercio C (todavia funciona, antes del bloqueo)
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | POST {{base_url}}/productos | Crear producto para Comercio C (antes del bloqueo, mientras todavia puede operar)
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | GET {{base_url}}/administrador/comercios/pendientes | Admin aprueba Comercio C
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | PUT {{base_url}}/administrador/comercios/{{comercio_c_id}}/resolver | Resolver (aprobar) Comercio C
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | POST {{base_url}}/carrito/items | Cliente puede agregar producto de Comercio C al carrito mientras esta APROBADO (control, antes del bloqueo)
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | DELETE {{base_url}}/carrito | Vaciar carrito (cleanup antes de bloquear a Comercio C)
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | POST {{base_url}}/auth/login | [negativo] Login Comercio C con password incorrecta (intento 1/3)
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | POST {{base_url}}/auth/login | [negativo] Login Comercio C con password incorrecta (intento 2/3)
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | POST {{base_url}}/auth/login | [negativo] Login Comercio C con password incorrecta (intento 3/3)
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | POST {{base_url}}/auth/login | [negativo] 4to intento de login contra Comercio C ya BLOQUEADO
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | POST {{base_url}}/carrito/items | [CRITICO, Paso 4] Cliente intenta agregar producto de Comercio C (ahora CERRADO_TEMPORALMENTE) al carrito
/19 - Bloqueo de comercio por intentos fallidos (CERRADO_TEMPORALMENTE) | DELETE {{base_url}}/carrito | Vaciar carrito (cleanup final)
/20 - Autorizacion (401 sin token) | GET {{base_url}}/carrito | [negativo] GET carrito sin token (CLIENTE)
/20 - Autorizacion (401 sin token) | GET {{base_url}}/clientes/perfil | [negativo] GET clientes/perfil sin token (CLIENTE)
/20 - Autorizacion (401 sin token) | GET {{base_url}}/comercios/perfil | [negativo] GET comercios/perfil sin token (COMERCIO)
/20 - Autorizacion (401 sin token) | GET {{base_url}}/productos | [negativo] GET productos (propio) sin token (COMERCIO)
/20 - Autorizacion (401 sin token) | GET {{base_url}}/administrador/metricas | [negativo] GET administrador/metricas sin token (ADMINISTRADOR)
/20 - Autorizacion (401 sin token) | GET {{base_url}}/pedidos/cliente | [negativo] GET pedidos/cliente sin token
/20 - Autorizacion (401 sin token) | GET {{base_url}}/notificaciones | [negativo] GET notificaciones sin token
/20 - Autorizacion (401 sin token) | POST {{base_url}}/categorias | [negativo] POST categorias sin token
/20 - Autorizacion (401 sin token) | GET {{base_url}}/carrito | [negativo] Token con firma corrupta
